Site number,Date,Sample_number,Time,Water_Temp,WaterTempException,PH,pHException,Conductivity,ConductivityException,TDS,TDSException,DO,DOException,Turbidity (meter reading),TurbidityException,Turbidity (scale value),Comments,ImportDate,ImportTime,Requires_checking
100,4/3/2002,100040302,16:01,6,,8.2,,0.3,,,,,9,426,,,"Missing data, reason unknown",,,
104,4/3/2002,104040302,15:43,6,,8.2,,0.34,,,,,9,254,,,"Missing data, reason unknown",,,
106,4/3/2002,106040302,14:19,7,,8.1,,0.28,,,,,9,342,,,"Missing data, reason unknown",,,
123,4/3/2002,123040302,10:30,6,,7.2,,0.28,,,,,9,269,,,"Missing data, reason unknown",,,
129,4/9/2002,129040902,10:56,9,,7.7,,0.25,,,,,9,487,,,"Missing data, reason unknown",,,
130,4/9/2002,130040902,10:36,9,,7.8,,0.21,,,,,9,578,,,"Missing data, reason unknown",,,
131,4/9/2002,131040902,10:04,9,,8.3,,0.22,,,,,9,571,,,"Missing data, reason unknown",,,
132,4/9/2002,132040902,10:25,9,,7.7,,0.22,,,,,9,470,,,"Missing data, reason unknown",,,
134,4/9/2002,134040902,11:44,9,,8,,0.3,,,,,9,224,,,"Missing data, reason unknown",,,
135,4/9/2002,135040902,11:54,9,,8.2,,0.29,,,,,9,224,,,"Missing data, reason unknown",,,
141,4/9/2002,141040902,13:10,9,,8.5,,0.23,,,,,9,311,,,"Missing data, reason unknown",,,
100,4/17/2002,100041702,14:26,21,,8.2,,0.51,,,,8.2,,25,,,,,,
104,4/17/2002,104041702,14:07,20,,8.4,,0.5,,,,8.4,,14,,,,,,
106,4/17/2002,106041702,13:18,20,,7.7,,0.53,,,,9.7,,21,,,,,,
123,4/17/2002,123041702,9:43,18,,7.5,,0.5,,,,6.3,,35,,,,,,
124,4/17/2002,124041702,10:23,19,,8.1,,0.42,,,,9.3,,25,,,,,,
